name,type,label
ac_generator,input,AC generator
aeif_cond_alpha,neuron,AEIF cond alpha
aeif_cond_exp,neuron,AEIF cond exp
dc_generator,input,DC generator
iaf_cond_alpha,neuron,IAF cond alpha
iaf_cond_exp,neuron,IAF cond exp
iaf_neuron,neuron,IAF neuron
iaf_psc_alpha,neuron,IAF psc alpha
iaf_psc_delta,neuron,IAF psc delta
iaf_psc_exp,neuron,IAF psc exp
izhikevich,neuron,Izhikevich
mat2_psc_exp,neuron,MAT2 psc exp
mip_generator,input,MIP generator
noise_generator,input,Noise generator
parrot_neuron,neuron, Parrot neuron
poisson_generator,input,Poisson generator
